date,ticker,open,high,low,close,volume,src,highest,lowest,middle,atr,atr_prev,epsilon,upper_band,lower_band,trend_state,signal
2025-04-08 07:00:00,FPT,90.48,92.19,89.71,89.71,16276400,89.71,117.37,89.71,103.53999999999999,5.106,4.268000000000001,2.1340000000000003,105.67399999999999,101.40599999999999,S,HOLD
2025-04-09 07:00:00,FPT,83.48,92.19,83.48,89.88,16893300,89.88,116.51,89.71,103.11,6.266,5.106,2.553,105.663,100.557,S,HOLD
2025-04-10 07:00:00,FPT,96.11,96.11,96.11,96.11,1005400,96.11,116.51,89.71,103.11,7.206,6.266,3.133,106.243,99.977,S,HOLD
2025-04-11 07:00:00,FPT,99.87,101.15,97.56,101.15,19224000,101.15,112.16,89.71,100.935,6.7620000000000005,7.206,3.603,104.538,97.33200000000001,S,HOLD
2025-04-14 07:00:00,FPT,102.43,102.43,97.31,101.15,9217400,101.15,110.97,89.71,100.34,6.370000000000002,6.7620000000000005,3.3810000000000002,103.721,96.959,S,HOLD
2025-04-15 07:00:00,FPT,99.1,99.87,97.05,99.02,7762400,99.02,110.97,89.71,100.34,5.840000000000003,6.370000000000002,3.185000000000001,103.525,97.155,S,HOLD
2025-04-16 07:00:00,FPT,97.74,98.93,92.1,92.1,18032200,92.1,110.11,89.71,99.91,5.482000000000005,5.840000000000003,2.9200000000000017,102.83,96.99,S,HOLD
2025-04-17 07:00:00,FPT,89.63,95.0,89.54,93.38,8580100,93.38,110.11,89.71,99.91,5.328000000000003,5.482000000000005,2.7410000000000023,102.651,97.169,S,HOLD
2025-04-18 07:00:00,FPT,94.32,98.16,94.32,95.26,7485500,95.26,110.11,89.71,99.91,5.276000000000002,5.328000000000003,2.6640000000000015,102.574,97.246,S,HOLD
2025-04-21 07:00:00,FPT,95.6,96.03,93.89,95.34,4332300,95.34,110.11,89.71,99.91,4.6800000000000015,5.276000000000002,2.638000000000001,102.548,97.27199999999999,S,HOLD
2025-04-22 07:00:00,FPT,94.75,94.92,88.77,94.24,9127300,94.24,107.98,89.71,98.845,5.174000000000001,4.6800000000000015,2.3400000000000007,101.185,96.505,S,HOLD
2025-04-23 07:00:00,FPT,95.34,95.34,91.93,94.24,5710800,94.24,107.72,89.71,98.715,4.4719999999999995,5.174000000000001,2.5870000000000006,101.302,96.128,S,HOLD
2025-04-24 07:00:00,FPT,95.17,97.05,94.41,95.6,7740100,95.6,107.72,89.71,98.715,3.9420000000000015,4.4719999999999995,2.2359999999999998,100.95100000000001,96.479,S,HOLD
2025-04-25 07:00:00,FPT,95.6,95.94,94.06,95.94,5384100,95.94,105.84,89.71,97.775,3.3620000000000005,3.9420000000000015,1.9710000000000008,99.74600000000001,95.804,S,HOLD
2025-04-28 07:00:00,FPT,95.6,95.94,93.21,93.47,3853700,93.47,104.14,89.71,96.925,3.4800000000000013,3.3620000000000005,1.6810000000000003,98.606,95.244,S,HOLD
2025-04-29 07:00:00,FPT,93.55,94.32,93.13,93.38,2945500,93.38,104.14,89.71,96.925,2.403999999999999,3.4800000000000013,1.7400000000000007,98.66499999999999,95.185,S,HOLD
2025-05-05 07:00:00,FPT,93.47,93.64,91.25,92.7,7167600,92.7,104.14,89.71,96.925,2.2,2.403999999999999,1.2019999999999995,98.127,95.723,S,HOLD
2025-05-06 07:00:00,FPT,92.7,94.75,92.7,93.64,5686200,93.64,101.15,89.71,95.43,2.047999999999999,2.2,1.1,96.53,94.33000000000001,S,HOLD
2025-05-07 07:00:00,FPT,93.55,94.92,92.96,93.64,3926800,93.64,101.15,89.71,95.43,2.0640000000000014,2.047999999999999,1.0239999999999996,96.45400000000001,94.406,S,HOLD
2025-05-08 07:00:00,FPT,94.24,97.82,93.04,97.56,12644900,97.56,101.15,89.71,95.43,2.473999999999998,2.0640000000000014,1.0320000000000007,96.462,94.39800000000001,B,BUY
2025-05-09 07:00:00,FPT,97.56,99.36,96.88,99.02,8496900,99.02,101.15,89.88,95.515,2.7319999999999993,2.473999999999998,1.236999999999999,96.752,94.278,B,HOLD
2025-05-12 07:00:00,FPT,99.87,101.32,99.61,100.98,8715200,100.98,101.15,92.1,96.625,2.7139999999999986,2.7319999999999993,1.3659999999999997,97.991,95.259,B,HOLD
2025-05-13 07:00:00,FPT,102.43,102.69,101.24,102.0,8565900,102.0,102.0,92.1,97.05,2.645999999999998,2.7139999999999986,1.3569999999999993,98.407,95.693,B,HOLD
2025-05-14 07:00:00,FPT,102.43,107.81,102.43,107.81,12080300,107.81,107.81,92.1,99.955,3.415999999999997,2.645999999999998,1.322999999999999,101.27799999999999,98.632,B,HOLD
2025-05-15 07:00:00,FPT,107.98,108.32,105.5,106.7,7806300,106.7,107.81,92.1,99.955,3.0239999999999982,3.415999999999997,1.7079999999999984,101.663,98.247,B,HOLD
2025-05-16 07:00:00,FPT,106.27,106.44,103.2,103.28,8012200,103.28,107.81,92.1,99.955,3.227999999999997,3.0239999999999982,1.5119999999999991,101.467,98.443,B,HOLD
2025-05-19 07:00:00,FPT,101.4,102.86,99.53,100.89,9916700,100.89,107.81,92.7,100.255,3.517999999999998,3.227999999999997,1.6139999999999985,101.869,98.64099999999999,B,HOLD
2025-05-20 07:00:00,FPT,99.7,101.83,99.7,101.75,7911300,101.75,107.81,92.7,100.255,3.601999999999998,3.517999999999998,1.758999999999999,102.014,98.496,B,HOLD
2025-05-21 07:00:00,FPT,102.43,102.43,99.87,100.98,6024400,100.98,107.81,92.7,100.255,2.951999999999998,3.601999999999998,1.800999999999999,102.056,98.454,B,HOLD
2025-05-22 07:00:00,FPT,99.95,100.38,98.67,99.7,6350700,99.7,107.81,92.7,100.255,2.85,2.951999999999998,1.475999999999999,101.731,98.779,B,HOLD
2025-05-23 07:00:00,FPT,99.61,100.55,99.02,99.95,4440500,99.95,107.81,92.7,100.255,2.4560000000000004,2.85,1.425,101.67999999999999,98.83,B,HOLD
2025-05-26 07:00:00,FPT,99.61,100.55,98.16,100.12,4023400,100.12,107.81,92.7,100.255,2.184,2.4560000000000004,1.2280000000000002,101.48299999999999,99.027,B,HOLD
2025-05-27 07:00:00,FPT,100.21,101.92,100.21,101.58,5498200,101.58,107.81,92.7,100.255,2.1180000000000008,2.184,1.092,101.347,99.163,B,HOLD
2025-05-28 07:00:00,FPT,101.75,101.92,100.3,101.06,3933600,101.06,107.81,92.7,100.255,1.930000000000001,2.1180000000000008,1.0590000000000004,101.314,99.196,B,HOLD
2025-05-29 07:00:00,FPT,101.58,101.58,99.95,99.95,2933000,99.95,107.81,92.7,100.255,1.7939999999999998,1.930000000000001,0.9650000000000005,101.22,99.28999999999999,B,HOLD
2025-05-30 07:00:00,FPT,100.72,100.89,99.44,99.44,4038000,99.44,107.81,92.7,100.255,1.778,1.7939999999999998,0.8969999999999999,101.152,99.35799999999999,B,HOLD
2025-06-02 07:00:00,FPT,99.44,99.95,98.67,99.1,2916400,99.1,107.81,93.64,100.725,1.5560000000000003,1.778,0.889,101.61399999999999,99.836,S,SELL
2025-06-03 07:00:00,FPT,99.61,100.72,99.27,100.21,3398600,100.21,107.81,93.64,100.725,1.5200000000000018,1.5560000000000003,0.7780000000000001,101.503,99.94699999999999,S,HOLD
2025-06-04 07:00:00,FPT,100.72,100.89,99.44,99.95,2873300,99.95,107.81,97.56,102.685,1.4860000000000013,1.5200000000000018,0.7600000000000009,103.44500000000001,101.925,S,HOLD
2025-06-05 07:00:00,FPT,99.95,100.12,99.44,99.7,2302800,99.7,107.81,99.02,103.41499999999999,1.2960000000000036,1.4860000000000013,0.7430000000000007,104.15799999999999,102.672,S,HOLD
2025-06-06 07:00:00,FPT,99.7,99.7,98.16,98.16,5383000,98.16,107.81,98.16,102.985,1.3140000000000043,1.2960000000000036,0.6480000000000018,103.633,102.337,S,HOLD
2025-06-09 07:00:00,FPT,98.59,99.78,98.16,99.19,3054700,99.19,107.81,98.16,102.985,1.382000000000005,1.3140000000000043,0.6570000000000021,103.642,102.328,S,HOLD
2025-06-10 07:00:00,FPT,99.87,100.21,98.76,98.76,3359000,98.76,107.81,98.16,102.985,1.3480000000000019,1.382000000000005,0.6910000000000025,103.676,102.294,S,HOLD
2025-06-11 07:00:00,FPT,99.1,100.89,99.1,100.64,5744300,100.64,106.7,98.16,102.43,1.4840000000000004,1.3480000000000019,0.6740000000000009,103.10400000000001,101.756,S,HOLD
2025-06-12 07:00:00,FPT,101.24,101.33,100.29,100.72,4153100,100.72,103.28,98.16,100.72,1.5559999999999974,1.4840000000000004,0.7420000000000002,101.462,99.978,S,HOLD
2025-06-13 07:00:00,FPT,99.86,100.29,98.92,99.35,6161700,99.35,101.75,98.16,99.955,1.6079999999999957,1.5559999999999974,0.7779999999999987,100.733,99.17699999999999,S,HOLD
2025-06-16 07:00:00,FPT,99.09,103.13,99.0,102.44,8069100,102.44,102.44,98.16,100.3,2.1099999999999937,1.6079999999999957,0.8039999999999978,101.104,99.496,B,BUY
2025-06-17 07:00:00,FPT,102.44,102.7,101.76,102.27,4600300,102.27,102.44,98.16,100.3,2.0079999999999956,2.1099999999999937,1.0549999999999968,101.35499999999999,99.245,B,HOLD
2025-06-18 07:00:00,FPT,102.27,102.88,100.21,100.72,6556700,100.72,102.44,98.16,100.3,2.115999999999997,2.0079999999999956,1.0039999999999978,101.304,99.29599999999999,B,HOLD
2025-06-19 07:00:00,FPT,100.72,100.81,99.6,99.86,5404900,99.86,102.44,98.16,100.3,2.15,2.115999999999997,1.0579999999999985,101.35799999999999,99.242,B,HOLD
2025-06-20 07:00:00,FPT,99.95,100.64,99.69,99.95,4339400,99.95,102.44,98.16,100.3,1.980000000000001,2.15,1.075,101.375,99.225,B,HOLD
2025-06-23 07:00:00,FPT,99.43,100.12,98.57,99.78,4587300,99.78,102.44,98.16,100.3,1.4640000000000044,1.980000000000001,0.9900000000000005,101.28999999999999,99.31,B,HOLD
2025-06-24 07:00:00,FPT,100.12,100.72,100.12,100.29,4271900,100.29,102.44,98.16,100.3,1.4640000000000044,1.4640000000000044,0.7320000000000022,101.032,99.568,B,HOLD
2025-06-25 07:00:00,FPT,100.72,102.79,100.72,100.81,6000700,100.81,102.44,98.16,100.3,1.430000000000004,1.4640000000000044,0.7320000000000022,101.032,99.568,B,HOLD
2025-06-26 07:00:00,FPT,101.58,101.84,100.38,100.72,4132300,100.72,102.44,98.16,100.3,1.480000000000004,1.430000000000004,0.715000000000002,101.015,99.585,B,HOLD
2025-06-27 07:00:00,FPT,100.72,101.84,100.64,100.98,5263200,100.98,102.44,98.16,100.3,1.530000000000004,1.480000000000004,0.740000000000002,101.03999999999999,99.56,B,HOLD
2025-06-30 07:00:00,FPT,101.5,102.88,101.24,101.76,6859100,101.76,102.44,98.16,100.3,1.6,1.530000000000004,0.765000000000002,101.065,99.535,B,HOLD
2025-07-01 07:00:00,FPT,102.44,102.88,101.76,102.27,4609400,102.27,102.44,98.16,100.3,1.6359999999999986,1.6,0.8,101.1,99.5,B,HOLD
2025-07-02 07:00:00,FPT,102.02,102.19,101.24,102.1,3661700,102.1,102.44,98.16,100.3,1.3419999999999987,1.6359999999999986,0.8179999999999993,101.118,99.482,B,HOLD
2025-07-03 07:00:00,FPT,102.02,103.13,101.41,101.58,6304300,101.58,102.44,98.16,100.3,1.393999999999997,1.3419999999999987,0.6709999999999994,100.971,99.62899999999999,B,HOLD
2025-07-04 07:00:00,FPT,102.02,106.23,101.93,105.46,12825000,105.46,105.46,98.76,102.11,2.0839999999999974,1.393999999999997,0.6969999999999985,102.807,101.413,B,HOLD
2025-07-07 07:00:00,FPT,106.15,107.35,105.89,106.58,6382800,106.58,106.58,98.76,102.67,2.0819999999999994,2.0839999999999974,1.0419999999999987,103.712,101.628,B,HOLD
2025-07-08 07:00:00,FPT,106.84,108.21,106.75,107.18,8064200,107.18,107.18,99.35,103.265,2.184,2.0819999999999994,1.0409999999999997,104.306,102.224,B,HOLD
2025-07-09 07:00:00,FPT,107.44,107.52,105.29,105.72,12198400,105.72,107.18,99.35,103.265,2.423999999999998,2.184,1.092,104.357,102.173,B,HOLD
2025-07-10 07:00:00,FPT,106.58,107.87,106.32,106.66,5180200,106.66,107.18,99.35,103.265,2.5099999999999993,2.423999999999998,1.211999999999999,104.477,102.053,B,HOLD
